County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Carroll,53297,Center,Wee Care Best - Finksburg,Finksburg,21048,Yes,3,Active,3,3,Sep 09 2022,Sep 09 2023,Aug 09 2013,,,
Montgomery,53084,Family Childcare,Kimber Demers,Rockville,20851,Yes,1,Active,1,2,Nov 30 2022,Nov 30 2023,Jan 08 2016,,,
Baltimore,52900,Family Childcare,Bernice Lapps-Bowers,Randallstown,21133,Yes,1,Active,1,2,Mar 23 2022,Mar 23 2023,Dec 16 2013,,,
Montgomery,52867,Center,Bar-T at Fields Road Elementary School,Gaithersburg,20878,Yes,3,Active,3,2,May 12 2022,May 12 2023,Dec 16 2013,,,
Anne Arundel,52815,Family Childcare,Maria McNeill,Glen Burnie,21060,Yes,1,Active,1,2,Jan 25 2022,Jan 25 2023,Mar 20 2015,,,
Prince George's,52761,Family Childcare,Clarissa Agnew,Landover,20785,Yes,1,Active,1,2,Mar 16 2022,Mar 16 2023,Feb 20 2015,,,
Harford,52610,Family Childcare,Judy Futch,Belcamp,21017,Yes,0,Inactive,1,2,May 21 2020,May 18 2022,May 29 2015,,,
Montgomery,52528,Family Childcare,Patricia Brown,Damascus,20872,Yes,1,Active,1,2,Mar 23 2022,Mar 23 2023,Jun 12 2015,,,
Anne Arundel,52475,Family Childcare,Ruth Cookus,Glen Burnie,21061,Yes,1,Active,1,2,Jan 10 2022,Jan 10 2023,Mar 03 2017,,,No Additional Staff
Calvert,51910,Family Childcare,Susan Richard,Lusby,20657,Yes,1,Active,1,2,Aug 01 2022,Aug 01 2023,Dec 09 2016,,,
Prince George's,51891,Center,Redeem Christian Academy,Temple Hills,20748,Yes,1,Active,1,2,Aug 09 2022,Aug 09 2023,Aug 22 2013,,,
Montgomery,51568,Center,Executive Child Development Center,Rockville,20852,Yes,1,Active,1,3,Jun 17 2022,Jun 17 2023,Jul 01 2013,,National Association for the Education of Young Children (NAEYC) 2027-09-01,NAEYC 2027-09-01
Prince George's,51542,Family Childcare,Linda Neal,Temple Hills,20748,Yes,0,Inactive,1,2,Mar 03 2020,Feb 23 2022,Mar 24 2017,,,
Calvert,51075,Center,Plum Point Elementary Before and After School Program,Huntingtown,20639,Yes,3,Active,3,2,Nov 08 2022,Nov 08 2023,Jul 14 2014,,,
Anne Arundel,51023,Center,Creative Garden LC Annapolis,Annapolis,21401,Yes,1,Active,1,3,Sep 08 2022,Sep 08 2023,Aug 09 2013,,,
Calvert,50906,Center,Patuxent Appeal Campus Before and After School Program,Lusby,20657,Yes,3,Active,3,2,Mar 24 2022,Mar 24 2023,Jul 14 2014,,,
Montgomery,50766,Center,Shady Grove Metro Kidstop - 073287,Rockville,20855,Yes,0,Active,3,3,Jul 13 2022,Jul 13 2023,May 12 2014,,,National Association for the Education of Young Children (NAEYC)
Baltimore,50702,Center,Pauline Mash School for Early Childhood Education,Baltimore,21208,Yes,1,Active,1,3,Feb 21 2022,Feb 21 2023,Apr 18 2014,,,
Charles,257047,Family Childcare,Rebecca Hancock,La Plata,20646,Yes,5,Active,5,2,Dec 02 2022,Dec 02 2023,Dec 04 2012,,,NAFCC  | NAFCC - National Association for Family Child Care 2023-01-31
Baltimore,50301,Center,Middle River Baptist Church Child Development Center,Baltimore,21220,Yes,1,Active,1,3,Jul 29 2022,Jul 29 2023,Jul 08 2013,,,
Montgomery,50155,Center,Millian Methodist Preschool,Rockville,20853,Yes,1,Active,1,3,Sep 08 2022,Sep 08 2023,Nov 26 2014,,,
Baltimore City,49995,Center,Kiddie Korral Learning Center,Baltimore,21215,Yes,3,Active,3,3,Feb 11 2022,Feb 11 2023,Oct 04 2014,,,
Calvert,49581,Center,Sleepy Hollow Day Care Center,Huntingtown,20639,Yes,1,Active,1,3,Dec 01 2022,Dec 01 2023,Oct 04 2014,,,
Prince George's,49530,Family Childcare,Janice Franklin,Upper Marlboro,20774,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Jun 12 2015,,,
Montgomery,49418,Center,"Robin's Nest Child Care, LLC",North Potomac,20878,Yes,2,Active,2,3,Jan 20 2022,Jan 20 2023,Feb 11 2014,,,
Washington,49394,Family Childcare,Linda Hoffman,Hagerstown,21740,Yes,0,Active,5,2,Jan 25 2022,Jan 25 2023,Nov 27 2012,Health and Wellness  | Quality Business Practices,,NAFCC  | No Additional Staff
Charles,49370,Center,Childrens Center for Discovery Waldorf,Waldorf,20601,Yes,1,Active,1,3,May 30 2022,May 30 2023,Mar 20 2015,,,
Harford,49052,Center,Children's Center of North Harford,Street,21154,Yes,1,Active,1,3,Jan 25 2022,Jan 25 2023,Mar 28 2014,,,
Calvert,48983,Center,Mutual Elementary Before and After School Program,Port Republic,20676,Yes,3,Active,3,2,Oct 19 2022,Oct 19 2023,Jul 14 2014,,,
Baltimore City,48929,Family Childcare,Evalen Buckson,Baltimore,21202,Yes,0,Inactive,1,2,Jun 30 2020,Jun 15 2022,Jun 12 2015,,,
Montgomery,48478,Center,Beth Sholom Early Childhood Center,Potomac,20854,Yes,3,Active,3,3,Jun 02 2022,Jun 02 2023,Apr 17 2015,,,
Howard,48410,Center,Running Brook Children's Nursery School,Columbia,21044,Yes,3,Active,3,3,Feb 25 2022,Feb 25 2023,Aug 22 2013,Health and Wellness,,
Washington,48386,Family Childcare,Kelly Hose,Hagerstown,21740,Yes,0,Inactive,1,2,Oct 08 2019,Sep 07 2022,Jul 10 2015,,,
Howard,48321,Center,Wilde Lake Childrens Nursery,Columbia,21044,Yes,2,Active,2,3,Oct 12 2022,Oct 12 2023,Dec 10 2018,,,
Montgomery,48033,Center,Optimal Learning Center at  Sally K. Ride Elementary School,Germantown,20876,Yes,5,Active,5,3,Jun 24 2022,Jun 24 2023,Dec 04 2012,Accredited Program  | Eco-Friendly Program 2024-02-28,,National Association for the Education of Young Children (NAEYC)
Prince George's,47990,Family Childcare,Camela Hughes,Adelphi,20783,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Oct 03 2014,,,No Additional Staff
Baltimore City,47958,Family Childcare,Deborah Simon,Baltimore,21206,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Nov 22 2013,,,
Baltimore,47552,Family Childcare,Donna Rene Maygers,Baltimore,21234,Yes,1,Active,1,2,Sep 06 2022,Sep 06 2023,Jan 17 2015,,,
Carroll,47525,Center,"Mt Airy Day Care and Learning Center, Inc.",Mount Airy,21771,Yes,3,Active,3,3,Nov 17 2022,Nov 17 2023,Nov 27 2012,,,MSDE
Anne Arundel,46923,Family Childcare,Linda Church,Odenton,21113,Yes,3,Active,3,2,Feb 24 2022,Feb 24 2023,Jul 26 2013,Health and Wellness  | Quality Business Practices,,No Additional Staff
Frederick,46808,Family Childcare,Jeanett Jones,Frederick,21703,Yes,1,Active,1,2,May 24 2022,May 24 2023,Jul 28 2017,,,
Frederick,46625,Center,Carroll Manor Elementary Before and After School Enrichment,Adamstown,21710,Yes,2,Active,2,2,Apr 27 2022,Apr 27 2023,Mar 11 2014,,,
Somerset,46531,Center,Princess Anne Child Development  Center,Princess Anne,21853,Yes,5,Active,5,3,Apr 06 2022,Apr 06 2023,Nov 23 2013,,,MSDE
Washington,46009,Center,YMCA Fountain Rock ASC,Hagerstown,21740,Yes,2,Active,2,2,Jul 13 2022,Jul 13 2023,Nov 26 2014,,,
Anne Arundel,45983,Family Childcare,Rhonda Hall,Glen Burnie,21061,Yes,5,Active,5,2,Nov 15 2022,Nov 15 2023,Dec 04 2012,Quality Business Practices  | Health and Wellness,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2025-07-01
Baltimore City,45686,Family Childcare,Karen Berry,Baltimore,21229,Yes,1,Active,1,2,Mar 24 2022,Mar 24 2023,Jul 01 2013,,,
Talbot,45445,Center,Critchlow Adkins Children's Centers - Cordova Site,Cordova,21625,Yes,5,Active,5,3,Aug 11 2022,Aug 11 2023,Dec 04 2012,,,MSDE
Howard,45396,Center,Celebree Learning Center,Ellicott City,21042,Yes,5,Active,5,3,Dec 09 2022,Dec 09 2023,Mar 06 2015,,,MSDE
Wicomico,45362,Center,Impact Child Development Center,Fruitland,21826,Yes,3,Active,3,3,Mar 23 2022,Mar 23 2023,Nov 08 2013,,,
Baltimore,45292,Center,St John the Evangelist Pre School and After Care Program,Hydes,21082,Yes,5,Active,5,3,May 11 2022,May 11 2023,Oct 01 2016,,,AdvancED
Baltimore,45276,Center,Play Centers at Cromwell Valley,Baltimore,21286,Yes,1,Active,1,2,Apr 08 2022,Apr 08 2023,Dec 27 2013,,,
Anne Arundel,45225,Family Childcare,Patricia Selway-Eckenrode,Glen Burnie,21061,Yes,1,Active,1,2,Mar 21 2022,Mar 21 2023,Jul 14 2014,,,
Harford,45187,Center,YMCA at Meadowvale Elementary School,Havre De Grace,21078,Yes,2,Active,2,2,Sep 02 2022,Sep 02 2023,Aug 23 2014,,,
Harford,45184,Center,YMCA at Church Creek Elementary School,Belcamp,21017,Yes,2,Active,2,2,Aug 15 2022,Aug 15 2023,Aug 23 2014,,,
Montgomery,45099,Center,Kids After Hours at Forest Knolls Elementary School,Silver Spring,20901,Yes,3,Active,3,2,Jul 22 2022,Jul 22 2023,Mar 28 2014,,,
Anne Arundel,44911,Center,Maryland City School Age Child Care,Laurel,20724,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Howard,44903,Center,Manor Woods Extended Recreation Program,Ellicott City,21042,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Mar 11 2014,,,
Anne Arundel,44894,Center,YMCA at Shipleys Choice Elementary School,Millersville,21108,Yes,1,Active,1,2,Oct 19 2022,Oct 19 2023,Aug 23 2014,,,
Anne Arundel,44893,Center,Oak Hill School Age Child Care,Severna Park,21146,Yes,3,Active,3,2,Apr 21 2022,Apr 21 2023,Mar 28 2014,Health and Wellness,,
Montgomery,44892,Center,Bar-T at Germantown Elementary School,Germantown,20874,Yes,3,Active,3,2,May 12 2022,May 12 2023,Nov 22 2013,,,
Anne Arundel,44891,Center,Benfield Elementary School Age Child Care,Severna Park,21146,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Frederick,44818,Center,The Carl and Norma Miller Children's Center at FCC,Frederick,21702,Yes,5,Active,5,3,Jul 21 2022,Jul 21 2023,Apr 17 2013,Accredited Program 2027-02-01,,National Association for the Education of Young Children (NAEYC)
Baltimore,44759,Center,Play Centers at Jacksonville Elementary School,Phoenix,21131,Yes,3,Active,3,2,Oct 14 2022,Oct 14 2023,Dec 27 2013,,,
Howard,44539,Center,Head Start Ellicott City,Ellicott City,21043,Yes,5,Active,5,3,Jul 19 2022,Jul 19 2023,Mar 28 2014,,National Association for the Education of Young Children (NAEYC) 2027-06-01,MSDE  | National Association for the Education of Young Children (NAEYC)
Baltimore,43804,Center,Providence Child Care and Learning Center,Towson,21286,Yes,1,Active,1,3,Jul 21 2022,Jul 21 2023,May 12 2014,,,
Baltimore City,43712,Family Childcare,Susan Thomas,Baltimore,21202,Yes,1,Active,1,2,Oct 10 2022,Oct 10 2023,Jul 09 2014,,,
Baltimore City,43704,Family Childcare,Beverly Vines,Baltimore,21231,Yes,1,Active,1,2,Jul 19 2022,Jul 19 2023,Mar 06 2015,,,
Prince George's,43663,Center,KinderCare - 073276,Mitchellville,20721,Yes,3,Active,3,3,Sep 30 2022,Sep 30 2023,Sep 28 2013,Accredited Program 2024-03-01,National Association for the Education of Young Children (NAEYC) 2024-03-01,National Association for the Education of Young Children (NAEYC)
Baltimore,43614,Family Childcare,Theresa Swayne,Baltimore,21222,Yes,3,Active,3,2,Apr 07 2022,Apr 07 2023,Aug 22 2013,,,No Additional Staff
Montgomery,258222,Center,Woodlin Child Development Center,Silver Spring,20901,Yes,3,Active,3,3,Mar 02 2022,Mar 02 2023,Nov 15 2013,Health and Wellness  | Accredited Program  | Asthma & Allergy Friendly,Maryland Accreditation (MSDE) 2024-11-30,MSDE
Howard,43466,Family Childcare,Laurie Alcock,Ellicott City,21043,Yes,5,Active,5,2,Jun 15 2022,Jun 15 2023,Mar 18 2016,Accredited Program 2025-11-01,National Association for Family Child Care (NAFCC) 2025-11-01,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-11-01
Montgomery,43101,Center,Bar-T @ Burning Tree ES,Bethesda,20817,Yes,3,Active,3,2,May 12 2022,May 12 2023,Dec 16 2013,,,
Calvert,42802,Center,Prime Time Children's Center,Owings,20736,Yes,5,Active,5,3,Sep 08 2022,Sep 08 2023,Nov 27 2012,Quality Business Practices  | Health and Wellness  | Accredited Program,National Accreditation Commission (NAC) 2026-01-17,MSDE  | NAC
Queen Anne's,42471,Family Childcare,Dwane Green,Grasonville,21638,Yes,2,Active,2,2,Sep 12 2022,Sep 12 2023,Mar 06 2015,,,No Additional Staff
Anne Arundel,41992,Family Childcare,Diane Harrold,Arnold,21012,Yes,5,Active,5,2,Mar 23 2022,Mar 23 2023,Dec 04 2012,,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-07-31
Harford,41681,Family Childcare,Kimberly Crehan,Belcamp,21017,Yes,1,Active,1,2,Apr 08 2022,Apr 08 2023,Oct 01 2016,,,
Montgomery,41615,Center,Cedar Lane Nursery School,Bethesda,20814,Yes,5,Active,5,3,May 02 2022,May 02 2023,Dec 04 2012,Accredited Program,National Association for the Education of Young Children (NAEYC) 2025-04-01,MSDE  | National Association for the Education of Young Children (NAEYC)
Montgomery,41597,Family Childcare,Patricia Mohamed,Gaithersburg,20877,Yes,5,Active,5,2,May 18 2022,May 18 2023,Dec 04 2012,,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care
Anne Arundel,41451,Center,Waugh Chapel School Age Child Care,Odenton,21113,Yes,3,Active,3,2,May 18 2022,May 18 2023,Jan 24 2014,Health and Wellness,,
Anne Arundel,41447,Center,Severna Park Elementary School Age Child Care,Severna Park,21146,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41445,Center,Davidsonville Elementary School Age Child Care,Davidsonville,21035,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41438,Center,Quarterfield School Age Child Care,Severn,21144,Yes,3,Active,3,2,May 18 2022,May 18 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41435,Center,Four Seasons School Age Child Care,Gambrills,21054,Yes,3,Active,3,2,May 18 2022,May 18 2023,Jan 27 2014,Health and Wellness,,
Anne Arundel,41433,Center,Highpoint Elementary School Age Child Care,Pasadena,21122,Yes,3,Active,3,2,Apr 21 2022,Apr 21 2023,Mar 28 2014,Health and Wellness,,
Anne Arundel,41432,Center,Broadneck Elementary School Age Child Care,Arnold,21012,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41427,Center,Brock Bridge School Age Childcare,Laurel,20724,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41425,Center,Crofton Meadows  School Age Child Care,Crofton,21114,Yes,3,Active,3,2,Apr 21 2022,Apr 21 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41424,Center,Edgewater Elementary School Age Child Care,Edgewater,21037,Yes,3,Active,3,2,May 18 2022,May 18 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41423,Center,Severn School Age Child Care,Severn,21144,Yes,3,Active,3,2,May 18 2022,May 18 2023,Mar 11 2014,Health and Wellness,,
Anne Arundel,41151,Family Childcare,Mary Ann Hicks,Annapolis,21401,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Oct 30 2015,,,
Anne Arundel,40790,Family Childcare,Martha Scannello-Dove,Glen Burnie,21061,Yes,2,Active,2,2,Jul 18 2022,Jul 18 2023,Apr 25 2014,,,No Additional Staff
Anne Arundel,40760,Family Childcare,Kim Good,Glen Burnie,21061,Yes,1,Active,1,2,Jun 27 2022,Jun 27 2023,Jan 24 2014,,,No Additional Staff
Anne Arundel,256642,Family Childcare,Cathy Ross,Glen Burnie,21061,Yes,3,Active,3,2,Jun 13 2022,Jun 13 2023,Nov 27 2012,Quality Business Practices  | Health and Wellness,,NAFCC  | No Additional Staff
Anne Arundel,40485,Family Childcare,Mary Dejesus,Annapolis,21401,Yes,1,Active,1,2,Sep 02 2022,Sep 02 2023,Jul 14 2014,,,
Anne Arundel,40401,Center,La Petite Child Care,Gambrills,21054,Yes,2,Active,2,3,Sep 27 2022,Sep 27 2023,Mar 28 2014,,,NECPA 2025-09-30
Anne Arundel,40400,Center,Childtime Childcare,Hanover,21076,Yes,1,Active,1,3,Oct 20 2022,Oct 20 2023,Mar 06 2015,,,NECPA
Anne Arundel,40394,Center,Child Care @ Sarah's House,Fort Meade,20755,Yes,3,Active,3,3,Jul 13 2022,Jul 13 2023,Dec 22 2014,Asthma & Allergy Friendly,,
Anne Arundel,40384,Center,Play and Learn at Community Place,Crownsville,21032,Yes,1,Active,1,3,May 30 2022,May 30 2023,Dec 27 2013,,,MSDE
Anne Arundel,40382,Center,Crofton Children's Centre,Gambrills,21054,Yes,1,Active,1,3,Jul 19 2022,Jul 19 2023,Sep 28 2013,,,
Anne Arundel,40376,Center,Quala Care Child Center Inc,Linthicum,21090,Yes,2,Active,2,3,Jan 20 2022,Jan 20 2023,Nov 27 2012,,,
Anne Arundel,40374,Center,Edinboro Early School,Severna Park,21146,Yes,4,Active,4,3,Nov 08 2022,Nov 08 2023,Dec 22 2014,,,
Anne Arundel,40360,Center,KinderCare 301136,Severna Park,21146,Yes,3,Active,3,3,Dec 01 2022,Dec 01 2023,Apr 25 2014,,,National Association for the Education of Young Children (NAEYC)
Anne Arundel,40356,LOC,St Paul's Lutheran Child Care,Glen Burnie,21061,Yes,1,Active,1,3,May 18 2022,May 18 2023,Dec 09 2014,,,
Anne Arundel,40354,Center,Mount Carmel Child Development Center,Pasadena,21122,Yes,1,Active,1,3,Feb 11 2022,Feb 11 2023,May 29 2015,,,
Anne Arundel,40353,Center,Asbury Community Christian PreSchool and Clubhouse,Arnold,21012,Yes,5,Active,5,3,Dec 29 2022,Dec 29 2023,Jul 01 2013,Quality Business Practices  | Accredited Program 2023-01-31,,MSDE
Anne Arundel,40346,Center,KinderCare 300876,Arnold,21012,Yes,3,Active,3,3,Dec 01 2022,Dec 01 2023,Sep 28 2013,,National Association for the Education of Young Children (NAEYC) 2023-09-01,National Association for the Education of Young Children (NAEYC)
Anne Arundel,40345,Center,KinderCare 301016,Pasadena,21122,Yes,4,Active,4,3,Jun 09 2022,Jun 09 2023,Sep 28 2013,,National Association for the Education of Young Children (NAEYC),National Association for the Education of Young Children (NAEYC)
Anne Arundel,40328,Center,Monsignor Slade Edu-Care Center,Glen Burnie,21061,Yes,5,Active,5,3,May 18 2022,May 18 2023,Oct 04 2014,,,AdvancED
Anne Arundel,40326,Center,KinderCare 301061,Hanover,21076,Yes,1,Active,1,3,Jun 09 2022,Jun 09 2023,Sep 28 2013,,National Association for the Education of Young Children (NAEYC) 2023-06-01,National Association for the Education of Young Children (NAEYC)
Anne Arundel,40324,Center,Woods Child Development Ctr,Severna Park,21146,Yes,5,Active,5,3,Dec 29 2022,Dec 29 2023,Nov 28 2012,Quality Business Practices  | Accredited Program 2023-04-30,,MSDE
Anne Arundel,40322,Center,Severna Park Children's Centre,Pasadena,21122,Yes,0,Inactive,3,3,May 10 2021,May 10 2022,Jul 26 2013,,,
Anne Arundel,40315,Center,Wee Lad and Lassie Early Learning Center,Arnold,21012,Yes,5,Active,5,3,Dec 13 2022,Dec 13 2023,Dec 04 2012,Health and Wellness  | Quality Business Practices  | Accredited Program 2025-05-31,,MSDE
Anne Arundel,39951,Center,Baldwin Early Learning Center,Millersville,21108,Yes,2,Active,2,3,Jan 20 2022,Jan 20 2023,Nov 27 2012,,,
Baltimore City,39885,Family Childcare,Barbara Carter,Baltimore,21206,Yes,4,Active,4,2,Nov 23 2022,Nov 23 2023,Jul 01 2013,,,NAFCC  | No Additional Staff
Prince George's,39580,Family Childcare,Angelia McClam,Capitol Heights,20743,Yes,3,Active,3,2,Jul 15 2022,Jul 15 2023,Aug 07 2015,,,No Additional Staff
Prince George's,39490,Family Childcare,Joanne Dreher-Patillo,Oxon Hill,20745,Yes,1,Active,1,2,Oct 28 2022,Oct 28 2023,Mar 06 2015,,,No Additional Staff
Montgomery,39319,Family Childcare,Paulette Johnson,Silver Spring,20904,Yes,1,Active,1,2,Apr 28 2022,Apr 28 2023,Jul 10 2015,,,
Montgomery,39107,Center,Little Feet CDC,Silver Spring,20910,Yes,3,Active,3,3,Nov 11 2022,Nov 11 2023,Jul 28 2014,,,
Baltimore City,39081,Family Childcare,Sheila Johnson,Baltimore,21223,Yes,1,Active,1,2,Jul 05 2022,Jul 05 2023,Jul 09 2014,,,No Additional Staff
Howard,38626,Center,Emmanuel United Methodist Preschool,Laurel,20723,Yes,5,Active,5,3,Feb 18 2022,Feb 18 2023,Dec 02 2013,Accredited Program,,MSDE
Prince George's,38552,Family Childcare,Beverly Higgs,Oxon Hill,20745,Yes,3,Active,3,2,Nov 03 2022,Nov 03 2023,Aug 22 2013,,,No Additional Staff
Howard,38464,Family Childcare,Cheryl Burgess,Laurel,20723,Yes,1,Active,1,2,Mar 02 2022,Mar 02 2023,Mar 20 2015,,,No Additional Staff
Montgomery,38378,Center,Nanda Children Day Care Center,Rockville,20853,Yes,1,Active,1,3,Dec 16 2022,Dec 16 2023,Apr 03 2015,,,
Prince George's,38273,Family Childcare,Lydia Stewart,Suitland,20746,Yes,3,Active,3,2,Apr 21 2022,Apr 21 2023,Jan 04 2013,,,No Additional Staff
Baltimore City,38271,Family Childcare,Cecilia Dunn,Baltimore,21206,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Jul 10 2015,,,No Additional Staff
Baltimore City,38207,Family Childcare,Gloria Cox,Baltimore,21215,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Jul 28 2014,,,
Montgomery,38043,Center,Circle Time Child Care,Wheaton,20902,Yes,2,Active,2,3,Oct 28 2022,Oct 28 2023,Jan 17 2015,,,
Montgomery,38001,Center,Rockville Community Nursery School,Rockville,20850,Yes,3,Active,3,3,Jul 25 2022,Jul 25 2023,Nov 27 2012,,,
Baltimore City,37016,Family Childcare,Annette Smith,Baltimore,21223,Yes,1,Active,1,2,Sep 14 2022,Sep 14 2023,Feb 20 2015,,,
Montgomery,36971,Center,St Jude's Extended Day School,Rockville,20853,Yes,3,Active,3,3,Dec 12 2022,Dec 12 2023,Oct 31 2015,,,AdvancED
Montgomery,36713,Center,Wonders Early Learning at Leland,Chevy Chase,20815,Yes,5,Active,5,3,Aug 04 2022,Aug 04 2023,Jul 09 2014,Accredited Program 2026-10-01,,National Association for the Education of Young Children (NAEYC)
Wicomico,36631,Family Childcare,Crystal Ritter,Delmar,21875,Yes,1,Active,1,2,Mar 23 2022,Mar 23 2023,Aug 22 2013,,,No Additional Staff
Harford,36623,Family Childcare,Susan Sions,Bel Air,21015,Yes,1,Active,1,2,Apr 21 2022,Apr 21 2023,Apr 25 2014,,,NAFCC
Montgomery,36555,Center,Kensington Nursery School,Kensington,20895,Yes,1,Active,1,3,Sep 08 2022,Sep 08 2023,Jul 28 2014,,,
Harford,36449,Family Childcare,Lois Cullum,Aberdeen,21001,Yes,1,Active,1,2,Mar 28 2022,Mar 28 2023,Mar 28 2014,,,
Prince George's,36348,Center,Center for Young Children University of  Maryland,College Park,20742,Yes,5,Active,5,3,Aug 17 2022,Aug 17 2023,Dec 09 2014,Health and Wellness  | Cultural and Linguistic Competency  | Eco-Friendly Program  | Accredited Program,,National Association for the Education of Young Children (NAEYC)
Howard,36236,Center,Rockburn Extended Recreation Program,Elkridge,21075,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Jan 24 2014,,,
Montgomery,35998,Center,Bethesda Country Day School,Bethesda,20814,Yes,1,Active,1,3,Sep 15 2022,Sep 15 2023,Aug 22 2013,,,
Prince George's,35966,Center,First United Methodist CEC,Hyattsville,20782,Yes,1,Active,1,3,Jul 25 2022,Jul 25 2023,Jun 26 2015,,,
Harford,35961,Family Childcare,Kim Brantley,Aberdeen,21001,Yes,1,Active,1,2,Aug 10 2022,Aug 10 2023,Jun 26 2015,,,
Baltimore City,35704,Family Childcare,Dorene Harris,Baltimore,21215,Yes,1,Active,1,2,Sep 20 2022,Sep 20 2023,Aug 22 2013,,,No Additional Staff
Baltimore City,255855,Center,St. Vincent De Paul Head Start-Arlington,Baltimore,21215,Yes,3,Active,3,3,May 05 2022,May 05 2023,Jul 10 2015,,,
Frederick,35542,Center,Learning Tree Early Learning Center,Brunswick,21716,Yes,3,Active,3,3,Apr 07 2022,Apr 07 2023,Mar 11 2014,,,
Baltimore City,35226,Family Childcare,Gloria Chambers,Baltimore,21231,Yes,0,Inactive,1,2,Apr 01 2019,Aug 10 2022,Jan 17 2015,,,
Montgomery,35206,Center,Our Small World,Silver Spring,20906,Yes,1,Active,1,3,Jun 24 2022,Jun 24 2023,Apr 17 2015,,,
Prince George's,35135,Family Childcare,Lula Boone,Fort Washington,20744,Yes,2,Active,2,2,Nov 04 2022,Nov 04 2023,Jun 10 2016,,,No Additional Staff
Baltimore,35019,Center,The Betty Sterner Y Preschool in Catonsville,Catonsville,21228,Yes,4,Active,4,3,Feb 11 2022,Feb 11 2023,Nov 22 2013,Accredited Program 2025-05-31,,NECPA
Harford,34908,Center,YMCA at Fountain Green Elementary School,Bel Air,21015,Yes,2,Active,2,2,Sep 02 2022,Sep 02 2023,Aug 23 2014,,,
Garrett,34793,Center,Accident Developmental Learning Center,Accident,21520,Yes,5,Active,5,3,Jun 03 2022,Jun 03 2023,Jan 04 2013,,,MSDE
Garrett,34785,Center,Dennett Road Early Learning Center,Oakland,21550,Yes,5,Active,5,3,Nov 08 2022,Nov 08 2023,Jul 01 2013,,,MSDE
Garrett,34780,Center,Kitzmiller Early Learning Center,Kitzmiller,21538,Yes,5,Active,5,3,Jun 03 2022,Jun 03 2023,Jul 01 2013,,,MSDE
Montgomery,34772,Family Childcare,Donna Robertson,Rockville,20852,Yes,1,Active,1,2,Jul 11 2022,Jul 11 2023,Jun 26 2015,,,
Wicomico,34738,Center,Salisbury Child Development Center,Salisbury,21804,Yes,5,Active,5,3,Jul 18 2022,Jul 18 2023,Dec 02 2013,,,MSDE
Montgomery,34605,Center,JCCGW Preschool,Rockville,20852,Yes,3,Active,3,3,Jun 21 2022,Jun 21 2023,Feb 06 2015,Health and Wellness,,
Worcester,34590,Center,Berlin Child Development Center,Berlin,21811,Yes,5,Active,5,3,Apr 06 2022,Apr 06 2023,Nov 23 2013,,,MSDE
Somerset,34589,Center,Eden Child Development Center,Eden,21822,Yes,5,Active,5,3,Jul 18 2022,Jul 18 2023,Nov 23 2013,,,MSDE
Montgomery,34561,Center,Academy Child Development Center @ Cold Spring,Potomac,20854,Yes,3,Active,3,3,Oct 25 2022,Oct 25 2023,Dec 03 2012,,,MSDE 2025-10-31
Montgomery,34554,Center,Little Acorns ELC,Potomac,20854,Yes,4,Active,4,3,Apr 21 2022,Apr 21 2023,Dec 04 2012,Accredited Program 2024-09-01 | Eco-Friendly Program 2024-04-28 | Health and Wellness  | Asthma & Allergy Friendly,National Association for the Education of Young Children (NAEYC) 2024-09-01,National Association for the Education of Young Children (NAEYC)
Baltimore City,34546,Family Childcare,Kena Smith,Baltimore,21239,Yes,1,Active,1,2,Sep 01 2022,Sep 01 2023,Jul 14 2014,,,
