County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Harford,95665,Family Childcare,Dawn Postowski,Edgewood,21040,Yes,0,Inactive,1,2,Aug 28 2020,Aug 10 2022,Mar 11 2014,,,
Baltimore City,95655,Family Childcare,Donna Chiarella,Baltimore,21206,Yes,1,Active,1,2,Dec 20 2022,Dec 20 2023,Apr 18 2014,,,No Additional Staff
Baltimore City,95608,Family Childcare,Lauren Corn,Baltimore,21217,Yes,1,Active,1,2,Jun 14 2022,Jun 14 2023,Nov 22 2013,,,
Baltimore City,95492,Family Childcare,Antoinette Douglas,Baltimore,21229,Yes,1,Active,1,2,Mar 23 2022,Mar 23 2023,Jul 01 2013,,,
Caroline,95484,Family Childcare,Sandra Wilson,Preston,21655,Yes,1,Active,1,2,Jun 30 2022,Jun 30 2023,Nov 26 2014,,,
Montgomery,95222,Center,Reginald S. Lourie Center for Infants and Young Children,Rockville,20852,Yes,5,Active,5,3,Sep 08 2022,Sep 08 2023,Dec 07 2012,,,National Association for the Education of Young Children (NAEYC)
Prince George's,95007,Center,Young Stars Early Learning Center,Temple Hills,20748,Yes,1,Active,1,3,Aug 03 2022,Aug 03 2023,Mar 06 2015,,,
Anne Arundel,94952,Center,Super Kids Place Incorporated @ Belvedere ES,Arnold,21012,Yes,1,Active,1,2,Oct 31 2022,Oct 31 2023,Feb 06 2015,,,
Wicomico,94842,Center,King's Kids Academy,Salisbury,21804,Yes,5,Active,5,3,Jun 03 2022,Jun 03 2023,Nov 27 2012,,,MSDE 2023-07-31
Prince George's,94799,Family Childcare,Cherrell Newman,Lanham,20706,Yes,1,Active,1,2,Nov 03 2022,Nov 03 2023,Dec 21 2014,,,
Anne Arundel,94323,LOC,St. Margaret's Day School,Annapolis,21409,Yes,5,Active,5,3,Dec 07 2022,Dec 07 2023,May 12 2014,Health and Wellness  | Eco-Friendly Program,National Association for the Education of Young Children (NAEYC) 2024-05-01,National Association for the Education of Young Children (NAEYC)
Montgomery,94266,Center,Kids After Hours at Rockview,Kensington,20895,Yes,3,Active,3,2,Jul 22 2022,Jul 22 2023,Mar 28 2014,,,
Anne Arundel,94211,Family Childcare,Reita Turro,Millersville,21108,Yes,4,Active,4,2,Aug 11 2022,Aug 11 2023,Mar 28 2014,Accredited Program 2024-06-24,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2024-06-28
Prince George's,93801,Family Childcare,Claire Hetsberger,Lanham,20706,Yes,1,Active,1,2,May 13 2022,May 13 2023,Nov 10 2017,,,
Prince George's,93799,Family Childcare,Barbara Glenn,Lanham,20706,Yes,0,Inactive,1,2,Oct 02 2020,Sep 07 2022,Jan 24 2014,,,
Baltimore City,93548,Family Childcare,Nicole Whittaker,Baltimore,21230,Yes,1,Active,1,2,Nov 15 2022,Nov 15 2023,Nov 08 2013,,,No Additional Staff
Baltimore City,93547,Family Childcare,Avis Burke,Baltimore,21217,Yes,1,Active,1,2,Jan 25 2022,Jan 25 2023,May 01 2015,,,No Additional Staff
Baltimore City,93528,Family Childcare,Robbin Taylor,Baltimore,21239,Yes,1,Active,1,2,Jan 31 2022,Jan 31 2023,Aug 22 2013,,,
Harford,93345,Family Childcare,Deborah Lam,Bel Air,21015,Yes,2,Active,2,2,Jun 09 2022,Jun 09 2023,Oct 03 2014,,,No Additional Staff
Calvert,93286,Family Childcare,Kimberly Beyer,Owings,20736,Yes,1,Active,1,2,Sep 12 2022,Sep 12 2023,Jun 26 2015,,,
Baltimore,255943,Family Childcare,Lesia Partlow-Holmes,Baltimore,21227,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Nov 26 2014,,,
Charles,92979,Family Childcare,Wendy Dingus,Bel Alton,20611,Yes,3,Active,3,2,Dec 20 2022,Dec 20 2023,Jul 01 2013,,,No Additional Staff
Montgomery,92718,Center,KinderCare-000318,Germantown,20876,Yes,3,Active,3,3,Apr 01 2022,Apr 01 2023,Sep 28 2013,Accredited Program 2025-01-01,,National Association for the Education of Young Children (NAEYC)
Washington,92249,Family Childcare,Brenda Mackereth,Hagerstown,21740,Yes,3,Active,3,2,Aug 11 2022,Aug 11 2023,Jul 14 2014,,,No Additional Staff
Baltimore,91931,Center,YMCA of Central Maryland Highland Village Head Start Center,Baltimore,21227,Yes,4,Active,4,3,May 11 2022,May 11 2023,May 12 2014,,,MSDE
Baltimore,91930,Center,YMCA Campfield Head Start,Baltimore,21207,Yes,1,Active,5,3,Jan 06 2022,Jan 06 2023,May 12 2014,,,MSDE
Anne Arundel,91871,Center,Georgetown East ES CCP,Annapolis,21403,Yes,1,Active,1,2,Jun 10 2022,Jun 10 2023,Jan 24 2014,,,
Calvert,91698,Center,Dowell Elementary School Before and After School Program,Lusby,20657,Yes,3,Active,3,2,Oct 05 2022,Oct 05 2023,Jul 14 2014,,,
Baltimore,91654,Family Childcare,Lucinda Witherspoon,Baltimore,21228,Yes,1,Active,1,2,Nov 01 2022,Nov 01 2023,Apr 03 2015,,,
Anne Arundel,91632,Center,Super Kids Place Incorporated @ Jones ES,Severna Park,21146,Yes,1,Active,1,2,Oct 31 2022,Oct 31 2023,May 01 2015,,,
Montgomery,91604,Center,Bar T at Watkins Mill Elementary School,Montgomery Village,20886,Yes,3,Active,3,2,May 12 2022,May 12 2023,Mar 28 2014,,,
Montgomery,91586,Center,Bar-T at Diamond Elementary,Gaithersburg,20878,Yes,1,Active,1,2,Jul 18 2022,Jul 18 2023,Dec 16 2013,,,
Prince George's,91434,Family Childcare,Mary Ellen Young,Bowie,20715,Yes,5,Active,5,2,May 02 2022,May 02 2023,Dec 03 2012,Health and Wellness  | Quality Business Practices  | Accredited Program 2024-06-28,National Association for Family Child Care (NAFCC) 2024-06-28,NAFCC  | NAFCC - National Association for Family Child Care 2024-06-28
Baltimore City,91298,Family Childcare,Virginia Peoples,Baltimore,21234,Yes,1,Active,1,2,Mar 09 2022,Mar 09 2023,Dec 22 2014,,,No Additional Staff
Montgomery,91187,Center,Small Wonders Child Care,Silver Spring,20904,Yes,1,Active,1,3,Mar 31 2022,Mar 31 2023,Jul 28 2014,,,
Montgomery,91183,Center,One World Learning Center,Silver Spring,20904,Yes,3,Active,3,3,May 18 2022,May 18 2023,Oct 11 2013,,,
Carroll,91157,Center,YMCA SACC Cranberry Station,Westminster,21157,Yes,1,Active,1,2,Dec 27 2022,Dec 27 2023,Aug 23 2014,,,
Wicomico,91129,Center,Stepping Stones Learning Academy,Fruitland,21826,Yes,1,Active,1,3,Jul 13 2022,Jul 13 2023,Jun 26 2015,,,MSA-CESS
Calvert,91113,Family Childcare,Alice Hawkins,Prince Frederick,20678,Yes,1,Active,1,2,Jul 28 2022,Jul 28 2023,Sep 28 2013,,,No Additional Staff
Prince George's,91108,LOC,Firm Foundation CEC,Temple Hills,20748,Yes,4,Active,4,3,Mar 03 2022,Mar 03 2023,Oct 11 2013,,,
Prince George's,90754,Family Childcare,Doreatha Hayes,Bowie,20721,Yes,3,Active,3,2,Sep 06 2022,Sep 06 2023,Nov 26 2014,,,No Additional Staff
Saint Mary's,90708,Family Childcare,Sonia Vaznaian,Great Mills,20634,Yes,1,Active,1,2,Jul 22 2022,Jul 22 2023,Nov 27 2015,,,No Additional Staff
Prince George's,90627,Family Childcare,Brenda Brown,Hyattsville,20784,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Nov 27 2012,,,No Additional Staff
Baltimore,90295,Family Childcare,Vanessa McClain,Baltimore,21244,Yes,1,Active,1,2,Aug 14 2022,Aug 14 2023,May 29 2015,,,
Baltimore,90193,Family Childcare,Doris Lyons,Baltimore,21222,Yes,1,Active,1,2,Apr 26 2022,Apr 26 2023,Dec 27 2013,,,
Frederick,89771,Family Childcare,Ronda Ecker,Frederick,21703,Yes,1,Active,1,2,Aug 05 2022,Aug 05 2023,Dec 22 2014,,,No Additional Staff
Wicomico,89738,Family Childcare,Wanda Jones,Salisbury,21804,Yes,3,Active,3,2,Oct 04 2022,Oct 04 2023,Sep 10 2013,,,No Additional Staff
Baltimore City,89699,Family Childcare,Linda Stewart,Baltimore,21223,Yes,1,Active,1,2,Oct 14 2022,Oct 14 2023,Mar 11 2014,,,
Montgomery,89579,Center,Kids After Hours at Westover,Silver Spring,20904,Yes,3,Active,3,2,Jul 22 2022,Jul 22 2023,Mar 28 2014,,,
Howard,89542,Center,Cradlerock Elementary  SAS,Columbia,21045,Yes,2,Active,2,2,Feb 23 2022,Feb 23 2023,Nov 08 2013,,,
Prince George's,89428,Center,Happy Family Day Care,Adelphi,20783,Yes,3,Active,3,3,Sep 12 2022,Sep 12 2023,Sep 06 2013,Health and Wellness,,
Baltimore,89282,Family Childcare,Deniece Cooper,Reisterstown,21136,Yes,1,Active,1,2,Jan 21 2022,Jan 21 2023,Dec 16 2013,,,
Washington,89063,Family Childcare,Carrie Kline,Smithsburg,21783,Yes,3,Active,3,2,Apr 14 2022,Apr 14 2023,Jan 24 2014,,,No Additional Staff
Montgomery,89002,Center,Potomac Valley Academy Assembly of God,Germantown,20876,Yes,3,Active,3,3,Nov 18 2022,Nov 18 2023,Dec 03 2012,,,
Baltimore,88971,Center,Caterpillars Development Center,Baltimore,21229,Yes,1,Active,1,3,Oct 03 2022,Oct 03 2023,Jul 10 2015,,,
