County,License Number,MSDE Program Type,Program Name,City Name,State Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Howard,161071,Center,ABC Daycare Inc. DBA Little Lighthouse,Ellicott City,Maryland,21042,Yes,2,Yes,2,Yes,3,May 22 2019,Jun 27 2020,0,,,,
Baltimore City,161067,Center,God's Little Cherubs Early Learning Center,Baltimore,Maryland,21207,Yes,1,Yes,1,No,3,Oct 25 2018,Mar 25 2020,0,,,,
Baltimore,161064,Registered Family Home,Martha Samantha Forde,Randallstown,Maryland,21133,Yes,2,Yes,2,No,2,Oct 25 2018,Jan 07 2020,0,,,,
Baltimore City,161062,Registered Family Home,Shwanquana Owens,Baltimore,Maryland,21216,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 29 2020,0,,,,
Baltimore City,161061,Registered Family Home,Earline Oliver,Baltimore,Maryland,21230,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 06 2020,0,,,,
Baltimore,161045,Registered Family Home,Roxelle Frans,Baltimore,Maryland,21207,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jun 25 2020,0,,,,
Frederick,161042,Registered Family Home,Tusseinah Ellis,Frederick,Maryland,21701,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 24 2020,0,,,,
Prince George's,161041,Registered Family Home,Michele Middleton,Landover,Maryland,20785,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 25 2020,0,,,,
Prince George's,161038,Registered Family Home,Mattie Sheppard,Oxon Hill,Maryland,20745,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 29 2020,0,,,,
Baltimore City,161036,Registered Family Home,Jessie Bullock,Baltimore,Maryland,21239,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 06 2020,0,,,,
Talbot,256065,Registered Family Home,Lesley Gay,Cordova,Maryland,21625,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 22 2020,0,,,,
Somerset,161031,Registered Family Home,Angel Mackley,Westover,Maryland,21871,Yes,1,Yes,1,No,2,Oct 25 2018,Oct 17 2020,0,,,,
Prince George's,161029,Registered Family Home,Cheryl Barclay-Jackson,Laurel,Maryland,20708,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 11 2020,0,,,,
Prince George's,161020,Registered Family Home,Ordette Glass,Beltsville,Maryland,20705,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 07 2020,0,,,,
Somerset,161002,Center,Kidz In His Hands Childcare Center,Princess Anne,Maryland,21853,Yes,3,Yes,3,Yes,3,Oct 25 2018,May 28 2020,0,,,,
Baltimore City,160990,Registered Family Home,Felisha Robertson,Baltimore,Maryland,21212,Yes,3,Yes,3,Yes,2,Oct 25 2018,Mar 31 2020,0,,,,
Baltimore City,160989,Registered Family Home,Lisa Henderson,Baltimore,Maryland,21215,Yes,2,Yes,2,No,2,Oct 25 2018,Sep 30 2020,0,,,,
