track_name,artist(s)_name,artist_count,released_year,released_decade,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,Danceability (%),Positivity (%),energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,,
Lose Yourself - Soundtrack Version,Eminem,1,2002,2000,1,1,32502,21,1829992958,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,,
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,2020,7,23,13315,0,1814349763,300,47,690,0,,150,D#,Minor,74,89,70,2,0,5,6,,
Another Love,Tom Odell,1,2012,2010,10,15,18371,83,1813673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,,
Mr. Brightside,The Killers,1,2003,2000,9,23,51979,15,1806617704,306,99,"5,063",2,120,148,C#,Major,35,24,93,0,0,10,8,,
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,2020,3,27,15894,8,1802514301,198,13,544,0,60,103,F#,Minor,70,92,83,1,0,7,6,,
No Role Modelz,J. Cole,1,2014,2010,12,9,21164,36,1791000570,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,,
Do I Wanna Know?,Arctic Monkeys,1,2013,2010,1,1,33783,26,1788326445,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,,
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,2020,10,30,11215,21,1763363713,189,166,525,9,25,110,E,Minor,73,14,57,40,0,11,5,,
Memories,Maroon 5,1,2019,2010,9,20,9974,2,1759567999,272,67,"1,066",1,19,91,B,Major,77,60,32,84,0,8,5,,
Yellow,Chris Molitor,1,1999,1990,1,1,31358,43,1755214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,,
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,2020,9,18,12329,0,1735441776,275,19,738,0,,179,G#,Minor,61,76,51,30,0,38,15,,
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,2010,9,23,12382,0,1714490998,229,57,"1,370",2,71,122,D,Major,86,97,80,36,0,9,6,,
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,2020,7,24,12854,0,1699402402,237,27,636,0,,91,G,Minor,70,76,72,22,0,27,4,,
Till I Collapse,"Eminem, Nate Dogg",2,2002,2000,5,26,22923,0,1695712020,78,46,"2,515",1,0,171,C#,Major,55,10,85,7,0,8,20,,
Dynamite,BTS,1,2020,2020,8,21,8528,5,1692897992,239,163,583,0,,114,F#,Minor,75,74,77,1,0,9,10,,
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,1990,9,10,49991,9,1690192927,265,121,"12,367",4,160,117,C#,Major,52,73,91,0,0,11,7,,
Without Me,Eminem,1,2002,2000,1,1,21081,43,1687664027,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,,
When I Was Your Man,Bruno Mars,1,2012,2010,12,5,2420,11,1661187319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,,
Die For You,The Weeknd,1,2016,2010,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,,
Just The Way You Are,Bruno Mars,1,2010,2010,1,1,21106,13,1641426668,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,,
In The End,Linkin Park,1,2000,2000,10,24,25065,6,1624165576,63,0,"6,808",2,0,105,D#,Minor,55,40,90,1,0,32,6,,
The Scientist,Coldplay,1,2002,2000,8,5,30992,6,1608164312,124,25,"7,827",1,0,146,F,Major,56,21,44,73,0,11,2,,
Before You Go,Lewis Capaldi,1,2019,2010,11,1,8327,24,1608045237,205,130,625,0,25,112,D#,Major,45,19,60,63,0,9,6,,
I'm Not The Only One,Sam Smith,1,2014,2010,1,1,17492,3,1606986953,136,24,"1,959",0,30,82,F,Major,68,50,49,56,0,8,4,,
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,2010,11,10,21097,52,1605224506,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,,
Every Breath You Take - Remastered 2003,The Police,1,1983,1980,1,6,22439,19,1593270737,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3,,
Viva La Vida,Coldplay,1,2008,2000,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,,
Save Your Tears,The Weeknd,1,2020,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,,
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,2020,4,9,15867,0,1575467011,382,65,497,0,12,111,G#,Major,77,74,66,30,0,13,3,,
Bad Habits,Ed Sheeran,1,2020,2020,9,3,12755,8,1555511105,344,97,945,15,,126,B,Minor,81,59,90,5,0,36,3,,
Sweet Child O' Mine,Guns N' Roses,1,1987,1980,1,1,41231,1,1553497987,228,151,"6,720",3,99,125,F#,Major,45,67,90,9,11,10,5,,
Locked Out Of Heaven,Bruno Mars,1,2012,2010,12,5,1622,9,1481349984,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5,,
Payphone,"Maroon 5, Wiz Khalifa",2,2012,2010,1,1,14143,4,1479264469,56,38,"1,891",1,,110,E,Major,74,51,74,2,0,29,4,,
Take On Me,a-ha,1,1984,1980,10,19,44927,17,1479115056,34,0,"5,108",6,0,84,F#,Minor,57,86,90,2,0,9,5,,
Rolling in the Deep,Adele,1,2010,2010,11,29,35684,6,1472799873,195,125,"6,280",2,78,105,G#,Major,73,52,76,13,0,5,3,,
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,2010,1,1,42798,0,1457139296,217,136,"6,508",1,,129,,Major,86,75,52,54,0,10,4,,
The Nights,Avicii,1,2014,2010,1,1,17354,8,1456081449,92,122,"1,282",0,55,126,F#,Major,53,66,85,2,0,24,4,,
Call Out My Name,The Weeknd,1,2018,2010,3,29,11087,6,1449799467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,,
All I Want for Christmas Is You,Mariah Carey,1,1994,1990,10,28,25653,0,1449779435,387,132,"2,094",0,,150,G,Major,34,33,63,16,0,7,4,,
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,2020,3,19,14140,0,1445941661,231,52,612,6,,90,,Major,63,49,68,38,0,42,18,,
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,2020,5,6,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,,
Adore You,Harry Styles,1,2019,2010,12,6,13454,1,1439191367,246,71,519,2,5,99,G#,Major,68,57,77,2,0,10,5,,
LA CANCI�,"J Balvin, Bad Bunny",2,2019,2010,6,28,6398,31,1435127549,177,109,305,3,5,176,G,Major,75,43,65,15,0,11,32,,
The Real Slim Shady,Eminem,1,2000,2000,1,1,20763,27,1424589568,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,,
The Night We Met,Lord Huron,1,2015,2010,2,2,18515,35,1410088830,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4,,
Easy On Me,Adele,1,2021,2020,10,14,10195,20,1406111294,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,,
Let Me Down Slowly,Alec Benjamin,1,2018,2010,5,25,5897,19,1374581173,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3,,
Beggin,M��ne,1,2017,2010,12,8,8559,0,1367810478,183,64,964,9,75,134,B,Minor,71,59,80,13,0,36,5,,
Numb,Linkin Park,1,2003,2000,3,24,20111,5,1361425037,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4,,
Gangsta's Paradise,"Coolio, L.V.",2,1995,1990,7,11,10624,17,1357608774,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6,,
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,2020,7,6,8506,45,1356565093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,,
Blank Space,Taylor Swift,1,2014,2010,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,,
Woman,Doja Cat,1,2021,2020,6,25,9424,0,1329090101,202,50,463,4,,108,F,Minor,82,88,76,9,0,12,9,,
Flowers,Miley Cyrus,1,2023,2020,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,,
Pepas,Farruko,1,2021,2020,6,24,14114,17,1309887447,252,109,965,20,,130,G,Major,76,44,77,1,0,13,3,,
Callaita,"Bad Bunny, Tainy",2,2019,2010,5,31,9539,15,1304313953,162,116,355,7,0,176,D,Major,61,24,62,60,0,24,31,,
Shivers,Ed Sheeran,1,2021,2020,9,9,10147,30,1302184087,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9,,
Heather,Conan Gray,1,2020,2020,3,20,6170,7,1301799902,82,1,231,0,2,92,F,Major,47,25,43,62,0,32,3,,
I Wanna Be Yours,Arctic Monkeys,1,2013,2010,1,1,12859,110,1297026226,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3,,
Iris,The Goo Goo Dolls,1,1998,1990,3,31,13101,9,1284942608,137,5,582,0,0,156,B,Minor,32,49,72,0,0,9,4,,
Danza Kuduro,"Don Omar, Lucenzo",2,2010,2010,1,1,17138,37,1279434863,119,81,974,1,503,130,,Major,47,86,92,8,0,5,24,,
Creep,Radiohead,1,1992,1990,9,21,36724,7,1271293243,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4,,
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,2010,1,1,23389,29,1267333350,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4,,
Titi Me Pregunt�,Bad Bunny,1,2022,2020,5,6,9037,42,1264310836,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25,,
Yonaguni,Bad Bunny,1,2021,2020,6,4,9644,28,1260594497,120,86,164,4,0,180,C#,Major,64,44,65,28,0,14,12,,
deja vu,Olivia Rodrigo,1,2021,2020,4,1,7545,4,1256880657,117,39,141,0,46,181,A,Major,44,22,60,61,0,42,9,,
positions,Ariana Grande,1,2020,2020,10,23,8207,0,1252563873,175,55,95,0,2,144,,Major,73,66,80,44,0,9,12,,
Mockingbird,Eminem,1,2004,2000,1,1,12985,61,1241559043,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,,
We Found Love,"Rihanna, Calvin Harris",2,2011,2010,1,1,36843,21,1235005533,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,,
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,2020,5,21,5257,6,1230855859,85,43,134,0,,176,D#,Major,29,12,33,68,0,12,5,,
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,2020,9,22,8576,42,1230675890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,,
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,2020,10,27,824,0,1223481149,8,8,8,2,0,77,G,Major,73,54,74,23,0,41,23,,
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,2020,9,3,6180,7,1223481149,122,88,580,21,10,77,B,Minor,72,59,76,24,0,42,28,,
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,2020,3,20,9161,5,1221813483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,,
505,Arctic Monkeys,1,2007,2000,4,20,13985,25,1217120710,30,80,588,1,1,140,,Major,52,20,85,0,0,7,5,,
La Bachata,Manuel Turizo,1,2022,2020,5,26,6804,45,1214083358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,,
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1990,1,1,33966,0,1210599487,141,78,"6,591",1,0,93,B,Major,81,53,78,18,0,6,24,,
Everybody Wants To Rule The World,Tears For Fears,1,1985,1980,2,17,41751,25,1205951614,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6,,
In Da Club,50 Cent,1,2002,2000,1,1,30427,7,1202722675,235,106,"5,221",1,35,90,F#,Minor,90,79,71,26,0,7,37,,
Hope,XXXTENTACION,1,2018,2010,3,16,3659,0,1200808494,11,10,267,0,7,146,A,Minor,59,23,46,66,0,15,6,,
Contection,"GODZZ__-, Zakaria",2,2020,2020,1,16,6955,0,1180896317,65,45,398,0,1,166,A#,Minor,81,83,75,14,0,29,34,,
you broke me first,Tate McRae,1,2020,2020,4,17,6638,0,1180094974,167,19,318,0,1,124,E,Major,64,8,37,79,0,9,5,,
Todo De Ti,Rauw Alejandro,1,2020,2020,11,2,11975,8,1168642797,188,75,268,6,16,128,D#,Minor,81,57,63,40,1,10,4,,
Ghost,Justin Bieber,1,2021,2020,3,19,5866,24,1167330737,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6,,
Set Fire to the Rain,Adele,1,2011,2010,1,1,14739,43,1163620694,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,,
Kill Bill,SZA,1,2022,2020,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,,
Last Christmas,Wham!,1,1984,1980,1,1,22153,0,1159176109,274,111,"1,302",0,,107,B,Minor,74,88,65,28,0,46,3,,
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1970,1970,7,1,15890,14,1145727611,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3,,
Butter,BTS,1,2021,2020,5,21,4779,6,1143647827,180,135,223,0,5,110,G#,Major,79,70,36,0,0,6,11,,
Astronaut In The Ocean,Masked Wolf,1,2019,2010,1,1,7191,0,1138474110,146,18,478,0,7,150,E,Minor,78,47,70,18,0,15,9,,
Ojitos Lindos,"Bomba Est��reo, Bad B",2,2022,2020,5,6,6135,38,1133865788,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4,,
Night Changes,One Direction,1,2014,2010,11,17,7124,18,1131090940,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4,,
Daddy Issues,The Neighbourhood,1,2015,2010,10,30,9771,4,1127468248,42,70,384,0,3,85,A#,Major,59,33,52,7,15,12,3,,
SLOW DANCING IN THE DARK,Joji,1,2018,2010,9,12,10211,0,1122364376,38,79,65,0,1,89,D#,Major,52,28,48,54,1,19,3,,
Dandelions,Ruth B.,1,2017,2010,4,28,3423,21,1116995633,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,,
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,2020,3,5,14417,0,1115880852,237,123,569,0,10,148,F,Major,59,72,62,18,0,9,3,,
Shake It Off,Taylor Swift,1,2014,2010,1,1,21335,13,1113838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,,
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,2020,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,,
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,2010,1,1,26792,32,1093605526,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10,,
Somewhere Only We Know,Keane,1,2004,2000,1,1,20015,16,1089402494,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3,,
I Ain't Worried,OneRepublic,1,2022,2020,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,,
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,2010,4,12,4260,0,1065580332,113,92,259,0,1,120,B,Minor,65,80,86,9,0,19,10,,
Talking To The Moon,Bruno Mars,1,2010,2010,10,4,7109,2,1062956628,5,0,862,0,0,146,C#,Minor,52,7,61,51,0,11,3,,
The Business,Ti��,1,2020,2020,1,1,14311,0,1062345656,255,32,582,0,14,120,G#,Minor,80,24,62,41,2,11,23,,
My Universe,"Coldplay, BTS",2,2021,2020,9,24,6127,13,1061966512,0,0,0,0,0,105,A,Major,58,42,68,1,0,14,4,,
Happier Than Ever,Billie Eilish,1,2021,2020,7,30,8476,0,1056760045,138,133,283,0,,65,,Major,31,31,24,76,0,14,4,,
Efecto,Bad Bunny,1,2022,2020,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,,
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,2010,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,,
Need To Know,Doja Cat,1,2021,2020,6,11,6672,0,1042568408,125,36,150,0,,130,C#,Major,66,19,61,30,0,9,7,,
Running Up That Hill (A Deal With God),Kate Bush,1,1985,1980,9,16,21811,0,1024858327,117,1,676,3,0,108,A#,Minor,63,20,55,72,0,6,6,,
Falling,Harry Styles,1,2019,2010,12,13,7556,0,1023187129,124,24,254,0,8,110,E,Major,57,6,27,84,0,9,3,,
Revenge,XXXTENTACION,1,2017,2010,8,25,3600,11,1022258230,7,0,203,0,2,140,B,Minor,75,18,25,78,0,11,26,,
���abcdefu,Gayle,1,2021,2020,8,13,7215,0,1007612429,170,12,575,18,,122,E,Major,70,42,54,30,0,37,5,,
